DateCreated,CumulativeStations
2022-09-07T06:33:00Z,635
2022-09-07T06:45:00Z,636
2022-09-07T06:50:00Z,637
2022-09-07T06:56:00Z,638
2022-09-07T07:03:00Z,639
2022-09-07T07:10:00Z,640
2022-09-07T07:13:00Z,641
2022-09-07T07:17:00Z,642
2022-09-07T07:20:00Z,643
2022-09-07T07:23:00Z,644
2022-09-07T07:26:00Z,645
2022-09-07T07:29:00Z,646
2022-09-07T07:33:00Z,647
2022-09-07T07:54:00Z,648
2022-09-07T08:13:00Z,649
2022-09-07T08:15:00Z,650
2022-09-07T08:18:00Z,651
2022-09-07T12:06:00Z,652
2022-09-07T12:10:00Z,653
2022-09-07T12:13:00Z,654
2022-09-07T12:16:00Z,655
2022-09-15T10:46:00Z,656
2022-09-27T05:19:00Z,657
2022-09-28T00:25:00Z,658
2022-09-28T21:32:00Z,659
2022-10-13T02:38:00Z,660
2022-11-02T04:45:00Z,661
2022-11-16T04:19:00Z,662
2022-11-16T05:51:00Z,663
2022-11-21T03:56:00Z,664
2022-11-21T03:59:00Z,665
2022-11-21T04:01:00Z,666
2022-11-21T04:04:00Z,667
2022-12-01T06:26:00Z,668
2022-12-01T06:34:00Z,669
2022-12-01T08:36:00Z,670
2022-12-01T09:21:00Z,671
2022-12-02T00:25:00Z,672
2022-12-08T09:03:00Z,673
2022-12-10T07:50:00Z,674
2022-12-17T21:55:00Z,675
2022-12-17T23:06:00Z,676
2022-12-17T23:16:00Z,677
2022-12-17T23:20:00Z,678
2022-12-17T23:25:00Z,679
2022-12-17T23:28:00Z,680
2022-12-17T23:31:00Z,681
2022-12-17T23:36:00Z,682
2022-12-17T23:43:00Z,683
2022-12-17T23:52:00Z,684
2022-12-17T23:57:00Z,685
2022-12-18T00:04:00Z,686
2022-12-18T00:10:00Z,687
2022-12-18T00:26:00Z,688
2022-12-18T00:38:00Z,689
2022-12-18T00:43:00Z,690
2022-12-18T00:47:00Z,691
2022-12-18T00:54:00Z,692
2022-12-18T01:31:00Z,693
2022-12-18T01:39:00Z,694
2022-12-18T01:43:00Z,695
2022-12-18T01:52:00Z,696
2022-12-18T01:57:00Z,697
