N,X,Y
BP MERREDIN TRAVEL STOP,118.269118,-31.482965
MINDARIE,115.7117369,-31.67743039
CALTEX WOOLWORTHS HIGHGATE,115.867524,-31.942544
7-ELEVEN KELMSCOTT CENTRAL,116.017576,-32.118987
BP BALCATTA,115.808022,-31.865542
BP MORLEY,115.905341,-31.89445
PUMA SAWYERS VALLEY,116.207324,-31.903137
INDEPENDENT MUNDIJONG,115.985453,-32.295626
COLES EXPRESS FITZROY CROSSING ROADHOUSE,125.568237,-18.197896
WOOLWORTHS CALTEX KARRATHA,116.843902,-20.732852
INDEPENDENT MENZIES,121.028534,-29.691862
COLES EXPRESS BANKSIA GROVE,115.802679,-31.70653
BP WOODBRIDGE,115.995715,-31.890354
COLES EXPRESS PALMYRA,115.77988,-32.047334
COLES EXPRESS PARABURDOO,117.671055,-23.204486
PUMA ALEXANDER HEIGHTS,115.852831,-31.829326
WOOLWORTHS CALTEX EATON,115.716929,-33.319762
7-ELEVEN STIRLING,115.828839,-31.8734
CALTEX KWINANA,115.7825304,-32.24551462
LAKE GRACE,118.468224,-33.099
COLES EXPRESS KARRATHA TRAVEL & TRUCK,116.778123,-20.794829
COLES EXPRESS WEST PERTH,115.839626,-31.945662
CALTEX COOLGARDIE,121.158761,-30.954249
BP JOHN EYRE MOTEL,125.48776,-32.271313
INDEPENDENT KOJONUP,117.16118,-33.840572
GERAGHTY'S ENGINEERING,118.204849,-30.91485
VIBE HAMILTON HILL,115.777233,-32.086143
CALTEX KATANNING,117.552955,-33.693029
CALTEX WOOLWORTHS O'CONNOR,115.7932,-32.055345
CALTEX WOOLWORTHS SOUTH LAKE,115.837032,-32.115172
CALTEX DENHAM,113.537199,-25.929256
BP MINGENEW ,115.4413588,-29.1891077
BP SOUTH FREMANTLE,115.760944,-32.076871
PUMA BURSWOOD,115.901915,-31.960377
BP MOUNT BARKER,117.662048,-34.61989
7-ELEVEN MALVERN SPRINGS,115.985544,-31.766075
WOOLWORTHS CALTEX KWINANA,115.815578,-32.244553
INDEPENDENT HALLS CREEK,127.671175,-18.223976
SHELL DUNSBOROUGH,115.1028,-33.61686
WOOLWORTHS CALTEX FREMANTLE,115.758978,-32.073752
CALTEX THORNLIE,115.961982,-32.055854
CALTEX WOOLWORTHS RIVERVALE,115.913658,-31.953598
INDEPENDENT EUCLA,128.88422,-31.677096
BP SORRENTO,115.747718,-31.83232
INDEPENDENT HYDEN,118.861937,-32.448593
COLES EXPRESS LANGFORD,115.938833,-32.032011
BP RAVENSTHORPE,120.04492,-33.581519
BP LEINSTER,120.699411,-27.916473
PORT HEDLAND ,118.586075,-20.369671
BP BURRENDAH SELF SERVE,115.882051,-32.058314
DIRECT FUEL SUPPLIES,115.6989893,-33.34877208
CALTEX WOOLWORTHS MOSMAN PARK,115.755629,-32.012022
PUMA WELSHPOOL,115.946469,-31.991465
CALTEX WOOLWORTHS SUBIACO,115.824279,-31.950694
INDEPENDENT DUMBLEYUNG,117.74128,-33.314862
INDEPENDENT WICKEPIN,117.503334,-32.78186
COLES EXPRESS BICTON,115.792711,-32.034092
BP MANNING,115.864477,-32.012095
BP CONNECT PADBURY,115.759276,-31.813581
PUMA MIDVALE,116.031862,-31.886391
WILLARE BRIDGE ROADHOUSE,123.654728,-17.726813
SHELL ROADHOUSE WILLIAMS,116.879398,-33.029105
GOLDEN WATTLE ,116.731221,-34.976569
INDEPENDENT NORTHAMPTON,114.631348,-28.350666
